Date,vfinx,hsi,n225,pesi,ks11,jkse,msci,vgk,vwo,iemg,eem,emb,ibcx,spsk,asia,hydb,tlt
2008-05-01,100.77191925048800,,13766.8603515625,12.649999618530300,,,30.15907096862790,43.30348205566410,36.58304977416990,,37.841522216796900,54.25815963745120,116.09024047851600,,,,63.88046646118160
2008-06-02,99.28224182128910,24831.359375,14440.1396484375,12.199999809265100,1847.530029296880,2427.696044921880,33.11020278930660,42.68597412109380,36.50170135498050,,38.168312072753900,54.3114128112793,113.64099884033200,,,,62.398963928222700
2008-07-01,92.22496032714840,,13463.2001953125,14.399999618530300,1666.4599609375,2378.7373046875,31.324718475341800,38.77108383178710,32.193660736084000,,34.42232131958010,52.86985778808590,110.37533569335900,,,,63.657413482666000
2008-08-01,90.58016204833980,22862.599609375,13094.58984375,12.25,1573.77001953125,2248.68310546875,28.049779891967800,37.69795227050780,31.472110748291000,,32.89358139038090,53.39622497558590,112.20728302002000,,,,63.71476745605470
2008-09-01,,20906.310546875,12834.1796875,,1414.4300537109400,2164.555908203130,,,,,,,111.619873046875,,,,
2008-10-01,83.81558227539060,,11368.259765625,10.449999809265100,1439.6700439453100,,20.445255279541000,31.816633224487300,24.207143783569300,,26.788986206054700,50.2598876953125,107.37848663330100,,,,67.11357879638670
2008-10-31,70.0475845336914,,,6.849999904632570,,,15.949150085449200,25.01205825805660,17.833486557006800,,19.700511932373000,40.38272476196290,107.26896667480500,,,,65.04647827148440
2008-12-01,59.227603912353500,14108.83984375,8397.2197265625,4.150000095367430,1058.6199951171900,1223.0887451171900,13.590082168579100,21.09718132019040,14.848272323608400,,16.06719398498540,42.92365264892580,111.06231689453100,,,,77.22325897216800
2009-01-02,67.82257080078130,15042.8095703125,,6.349999904632570,1157.4000244140600,,17.25357437133790,25.302600860595700,18.4757022857666,,20.551362991333000,52.974212646484400,115.85128784179700,,,,82.40420532226560
2009-02-02,60.15049743652340,12861.490234375,7873.97998046875,6.800000190734860,1146.949951171880,1310.60400390625,16.818769454956100,21.108152389526400,15.871390342712400,,17.613208770752000,46.949241638183600,113.30248260498000,,,,74.84745788574220
2009-03-02,51.276248931884800,12317.4599609375,7280.14990234375,6.900000095367430,1018.8099975585900,1256.0716552734400,13.405059814453100,17.923486709594700,14.86687183380130,,15.664915084838900,45.506492614746100,112.11768341064500,,,,73.55255126953130
2009-04-01,59.475440979003900,13519.5400390625,8351.91015625,9.699999809265140,1233.3599853515600,1461.70458984375,15.727119445800800,21.185829162597700,18.170621871948200,,20.13499641418460,48.09770965576170,111.9782943725590,,,,75.97020721435550
2009-05-01,64.43769836425780,,8977.3701171875,11.25,,1729.53076171875,20.1677188873291,23.768518447876000,20.960954666137700,,22.853179931640600,51.87981033325200,115.3236083984380,,,,69.56729125976560
2009-06-01,69.43184661865230,18888.58984375,9677.75,11.199999809265100,1415.0999755859400,1998.5206298828100,20.787553787231400,27.348041534423800,25.21713638305660,,27.213275909423800,53.893333435058600,115.35347747802700,,,,65.46672821044920
2009-07-01,68.14144897460940,,9939.9296875,12.550000190734900,1411.6600341796900,2059.82275390625,22.26775360107420,26.590700149536100,24.175416946411100,,25.993289947509800,53.895503997802700,116.92656707763700,,,,67.8330078125
2009-07-31,72.9778060913086,,,13.050000190734900,,,25.857236862182600,29.030994415283200,26.258867263793900,,28.337594985961900,55.47616195678710,119.68445587158200,,,,68.35932922363280
2009-09-01,73.93065643310550,19872.30078125,,12.350000381469700,1623.06005859375,2326.844970703130,26.449312210083000,29.613554000854500,25.663589477539100,,27.434724807739300,56.80649948120120,118.18106079101600,,,,69.7152328491211
2009-10-01,76.4012451171875,,9978.6396484375,10.699999809265100,1644.6300048828100,2477.8974609375,25.107885360717800,31.06995964050290,27.947938919067400,,29.977027893066400,59.75697326660160,119.44550323486300,,,,72.58283996582030
2009-11-02,77.4554443359375,21620.189453125,9802.9501953125,11.699999809265100,1559.0899658203100,2371.57177734375,27.911008834838900,31.646041870117200,28.513439178466800,,30.19879150390630,59.171531677246100,119.58489227294900,,,,69.42082977294920
2009-12-01,82.54940795898440,22113.150390625,9572.2001953125,11.649999618530300,1569.719970703130,2452.427978515630,28.965656280517600,33.57498550415040,30.738265991210900,,33.010379791259800,60.110225677490200,119.78401184082000,,,,69.78861236572270
2009-12-31,83.1469497680664,,,11.350000381469700,,,29.418962478637700,32.61071014404300,30.921667098999000,,33.14293670654300,60.08657455444340,,,,,66.0963363647461
2010-02-01,81.29241180419920,20243.75,10205.01953125,9.699999809265140,1606.43994140625,2587.47216796875,27.670482635498000,31.332651138305700,29.669721603393600,,31.393945693969700,59.77907943725590,120.45109558105500,,,,67.25965118408200
2010-03-01,83.46282196044920,21056.9296875,10172.0595703125,10.0,,2554.59814453125,26.449312210083000,30.49183464050290,29.873340606689500,,31.641517639160200,60.604434967041000,120.25196075439500,,,,67.61369323730470
2010-04-01,88.25828552246090,21537.0,11244.400390625,11.199999809265100,1719.1700439453100,2829.912109375,33.739295959472700,32.967227935791000,32.55070495605470,,34.516571044921900,62.165565490722700,121.24758911132800,,,,66.08966827392580
