Date,VFINX,VBMFX,VIX.chg,VIX.ret,SPX_SMA,VFINX_SKW,VBMFX_SKW,VIX_SKW
2011/4/30,0.0294792,0.0131621,1.639999,0.055782279,400.9545513,-0.551570479,0.476574873,1.807873553
2011/5/31,-0.011454,0.0130482,1.91,0.106883038,344.520369,-0.592425644,0.060176566,1.810978241
2011/6/30,-0.0167228,-0.0038807,3.06,0.166304348,280.5594649,-0.539639683,-0.573610024,1.806304088
2011/7/31,-0.0204686,0.0157519,2.75,0.120985482,213.9241721,-0.513998219,-0.69005065,1.845701832
2011/8/31,-0.0544646,0.0146372,16,0.633663366,77.52821468,-0.246891234,-0.827055299,2.300788262
2011/9/30,-0.0704259,0.008925,4.459999,0.092916646,-74.28495645,-0.230715979,-0.834999124,2.301053997
2011/10/31,0.109138,0.0015993,5.429998,0.126396604,122.9027881,-0.154457437,-0.808175016,2.297369467
2011/11/30,-0.0023367,-0.0030435,8.68,0.190979094,101.5509865,-0.064605857,-0.677549746,2.270662466
2011/12/31,0.010176,0.0107551,1.92,0.053097345,108.2894895,-0.080450556,-0.718626075,2.240263517
2012/1/31,0.0446459,0.0087315,1.290001,0.042170677,190.5299458,-0.090773423,-0.721286351,2.221452019
2012/2/29,0.0430685,-0.0004583,2.160002,0.09403579,270.5163515,-0.099402192,-0.611388293,2.220398854
2012/3/31,0.0328145,-0.0058345,2.820002,0.133396506,319.7431144,-0.093047137,-0.469572451,2.21445017
2012/4/30,-0.0063954,0.0113895,2.349998,0.11260172,272.6662988,-0.112231659,-0.521053347,2.289035595
2012/5/31,-0.0601784,0.0094867,3.109998,0.152525657,107.7304688,-0.012682675,-0.524558907,2.279538762
2012/6/30,0.0410895,0.0003681,2.84,0.11314741,173.4868719,-0.046109424,-0.227509739,2.296715517
2012/7/31,0.0136997,0.0138591,2.350001,0.088147074,184.1501242,-0.120464388,-0.249487121,2.385028886
2012/8/31,0.0223933,0.0003013,1.17,0.057156818,216.8114628,-0.105772275,-0.23183301,2.395104397
2012/9/30,0.0257653,0.0010777,1.900001,0.100211028,255.9553893,-0.078893451,-0.248555292,2.431658663
2012/10/31,-0.0185952,0.0011153,2.209999,0.122914294,193.480014,-0.013775989,-0.147193233,2.659253721
2012/11/30,0.0055999,0.0019199,1.5,0.079660117,193.3618827,0.072777833,-0.066798084,3.437351024
2012/12/31,0.0090228,-0.0020169,3.25,0.17033543,203.8958515,0.0577046,0.014543145,3.378676022
